Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2020-03-19 11-PM,BTCEUR,5935.9,5964,5810.4,5882.9,208.32,1222533.97
2020-03-19 10-PM,BTCEUR,5895.8,6063.4,5878.4,5935.9,767.35,4578093.46
2020-03-19 09-PM,BTCEUR,5872.1,5899.9,5819,5895.8,388.67,2279507.81
2020-03-19 08-PM,BTCEUR,5856.1,5872.1,5791.1,5872.1,285.15,1661668.65
2020-03-19 07-PM,BTCEUR,5777.9,5874.8,5734.8,5856.1,858.26,4984128.2
2020-03-19 06-PM,BTCEUR,5974.1,6000,5766.1,5777.9,1207.42,7083749.42
2020-03-19 05-PM,BTCEUR,5847,6021,5813.6,5974.1,1603.55,9487190.15
2020-03-19 04-PM,BTCEUR,5559.3,6044.9,5483.2,5847,3502.78,20185366.14
2020-03-19 03-PM,BTCEUR,5442.7,5570,5438.7,5559.3,1104.77,6095452.38
2020-03-19 02-PM,BTCEUR,5453.7,5500.1,5382,5442.7,1075.04,5857315.02
2020-03-19 01-PM,BTCEUR,5473.6,5530.3,5318.5,5453.7,2145.01,11674760.06
2020-03-19 12-PM,BTCEUR,5276.1,5476.3,5267.5,5473.6,2315.16,12495500.73
2020-03-19 11-AM,BTCEUR,5205.1,5287,5185.6,5276.1,757.97,3961360.33
2020-03-19 10-AM,BTCEUR,5207.8,5287.6,5175.8,5205.1,1549.97,8106647.61
2020-03-19 09-AM,BTCEUR,5023.9,5214,5006.8,5207.8,1391.98,7109021.56
2020-03-19 08-AM,BTCEUR,5028,5071,4980.1,5023.9,858.75,4317427.63
2020-03-19 07-AM,BTCEUR,4947.3,5030,4931.3,5028,627.19,3138811.58
2020-03-19 06-AM,BTCEUR,4953.5,4976.5,4935.4,4947.3,264.24,1309104.12
2020-03-19 05-AM,BTCEUR,4883.3,4957.4,4877,4953.5,128.74,633006.66
2020-03-19 04-AM,BTCEUR,4877.9,4905.1,4873.6,4883.3,32.1,156803.67
2020-03-19 03-AM,BTCEUR,4881.4,4907.1,4839.3,4877.9,91.52,446400.91
2020-03-13 08-PM,BTCEUR,4949.8,5048,4821,4918,342.99,1694293.84
2020-03-13 07-PM,BTCEUR,4586.6,5050,4505,4949.8,1301.7,6174600.61
2020-03-13 06-PM,BTCEUR,4758.7,4760.8,4440,4586.6,1294.03,5959046.94
2020-03-13 05-PM,BTCEUR,4781.7,4887.9,4695,4758.7,1065.89,5073536.3
2020-03-13 04-PM,BTCEUR,4791.4,4968,4634.7,4781.7,1319.84,6351774.98
2020-03-13 03-PM,BTCEUR,4965.9,5000,4501,4791.4,2285.6,10930895.41
2020-03-13 02-PM,BTCEUR,5136.5,5330,4824.3,4965.9,1584.94,8168359.13
2020-03-13 01-PM,BTCEUR,5121.2,5420,5030.2,5136.5,1427.57,7459515.66
2020-03-13 12-PM,BTCEUR,5029.9,5252,5013,5121.2,1207.7,6199221.6
2020-03-13 11-AM,BTCEUR,5205.8,5220,4950,5029.9,1350.55,6865637.65
2020-03-13 10-AM,BTCEUR,5372.5,5380,5028.6,5205.8,1644.76,8603602.62
2020-03-13 09-AM,BTCEUR,4885.3,5431.9,4885,5372.5,1465.83,7449902.4
2020-03-13 08-AM,BTCEUR,4922.7,5141.2,4704.8,4885.3,2213.48,10889361.72
2020-03-13 07-AM,BTCEUR,4709.7,4978.6,4571.9,4922.7,1210.68,5721023.76
2020-03-13 06-AM,BTCEUR,4458.9,4724.3,4362,4709.7,908.48,4120332.81
2020-03-13 05-AM,BTCEUR,4336.6,4700.3,4330.9,4458.9,1200.78,5464973.02
2020-03-13 04-AM,BTCEUR,4772.7,4800,4250,4336.6,1303.19,5873737.79
2020-03-13 03-AM,BTCEUR,4486.6,5100,4476.8,4772.7,2409.08,11600786.56
2020-03-13 02-AM,BTCEUR,3808.3,4888.6,3550,4486.6,3771.9,15703309.21
2020-03-13 01-AM,BTCEUR,4257.3,4360.9,3756.8,3808.3,2112.91,8636546.38
2020-03-13 12-AM,BTCEUR,4392.8,4577,4100,4257.3,2562.0,11080751.17
2020-03-12 11-PM,BTCEUR,5194.5,5198.6,4200,4392.8,5403.79,24548593.17
2020-03-12 10-PM,BTCEUR,5207.8,5300,5120,5194.5,851.23,4437591.16
2020-03-12 09-PM,BTCEUR,5160.2,5298,5000,5207.8,1262.0,6416079.61
2020-03-12 08-PM,BTCEUR,5401,5427.3,5022.6,5160.2,1319.9,6873110.23
2020-03-12 07-PM,BTCEUR,5384,5462.6,5364,5401,568.66,3083260.69
2020-03-12 06-PM,BTCEUR,5493.1,5525,5360,5384,667.59,3640879.01
2020-03-12 05-PM,BTCEUR,5475,5600,5457.4,5493.1,956.76,5280267.71
2020-03-12 04-PM,BTCEUR,5542.3,5599.3,5371.8,5475,1308.0,7157112.82
2020-03-12 03-PM,BTCEUR,5488.3,5560.6,5424,5542.3,1034.65,5685678.52
2020-03-12 02-PM,BTCEUR,5319.6,5562.4,5263.4,5488.3,1743.62,9471049.79
2020-03-12 01-PM,BTCEUR,5358,5435,5111,5319.6,1876.65,9919842.58
2020-03-12 12-PM,BTCEUR,5375,5600,5220,5358,2501.4,13523451.3
2020-03-12 11-AM,BTCEUR,5482,5789,5100,5375,5369.74,29338381.29
2020-03-12 10-AM,BTCEUR,6519.1,6525.9,5037,5482,6051.81,35112313.34
2020-03-12 09-AM,BTCEUR,6532.5,6536,6494.9,6519.1,435.31,2837529.43
2020-03-12 08-AM,BTCEUR,6521.1,6616.6,6450.1,6532.5,890.42,5816955.68
2020-03-12 07-AM,BTCEUR,6633.7,6637.2,6500,6521.1,1285.83,8409991.66
2020-03-12 06-AM,BTCEUR,6767.5,6770,6608,6633.7,779.35,5193162.89
2020-03-12 05-AM,BTCEUR,6751.1,6776,6724.6,6767.5,174.96,1180739.23
2020-03-12 04-AM,BTCEUR,6780.9,6780.9,6700,6751.1,251.78,1695136.77
2020-03-12 03-AM,BTCEUR,6750.5,6806,6721.2,6780.9,85.81,580869.38
2020-03-12 02-AM,BTCEUR,6812.5,6853.8,6703.7,6750.5,367.73,2491168.52
2020-03-12 01-AM,BTCEUR,7031.1,7042.9,6802.4,6812.5,186.42,1284363.37
2020-03-12 12-AM,BTCEUR,7046.5,7071,7012,7031.1,84.44,593965.97
2020-03-11 11-PM,BTCEUR,7062.8,7090,7031.2,7046.5,114.74,809292.15
2020-03-11 10-PM,BTCEUR,6928,7088.2,6927.9,7062.8,260.75,1830523.1
2020-03-11 09-PM,BTCEUR,6970,6989,6923.2,6928,129.48,901427.68
2020-03-11 08-PM,BTCEUR,6952.3,6989,6939.9,6970,218.79,1523972.71
2020-03-11 07-PM,BTCEUR,6917.3,6955,6878.9,6952.3,358.77,2484464.63
2020-03-11 06-PM,BTCEUR,6802.4,6929.1,6721.5,6917.3,981.17,6677312.84
2020-03-11 05-PM,BTCEUR,6897.5,6900.1,6785,6802.4,812.77,5543255.85
2020-03-11 04-PM,BTCEUR,6911,6954.5,6893.2,6897.5,273.54,1891068.43
2020-03-11 03-PM,BTCEUR,6915.3,6948.9,6878.8,6911,409.17,2830424.07
2020-03-11 02-PM,BTCEUR,6939.1,6952.5,6893.7,6915.3,324.79,2251118.32
2020-03-11 01-PM,BTCEUR,6929.4,6979.8,6925.2,6939.1,408.19,2837601.01
2020-03-11 12-PM,BTCEUR,6936.3,6948.6,6900,6929.4,370.03,2561794.98
2020-03-11 11-AM,BTCEUR,6942.5,6960.4,6913.6,6936.3,247.57,1716737.89
2020-03-11 10-AM,BTCEUR,6939.2,6956.3,6882.2,6942.5,331.73,2294520.1
2020-03-11 09-AM,BTCEUR,6933,6949.5,6912.6,6939.2,215.73,1495752.96
2020-03-11 08-AM,BTCEUR,6948,7010.9,6891.2,6933,368.19,2562397.64
2020-03-11 07-AM,BTCEUR,6902,6950,6891.8,6948,151.79,1052539.65
2020-03-11 06-AM,BTCEUR,6924.1,6956.7,6902,6902,193.72,1342882.17
2020-03-11 05-AM,BTCEUR,6982,6989.2,6909.4,6924.1,92.03,639186.93
2020-03-11 04-AM,BTCEUR,7003.7,7023.3,6981.3,6982,20.95,146828.41
2020-03-11 03-AM,BTCEUR,6988.2,7014.5,6968.6,7003.7,28.17,197090.92
2020-03-11 02-AM,BTCEUR,7008,7020.5,6974.3,6988.2,22.53,157638.39
2020-03-11 01-AM,BTCEUR,7021.1,7038.5,6990,7008,48.74,342291.92
2020-03-11 12-AM,BTCEUR,6977.6,7036.9,6950.8,7021.1,49.07,343547.26
2020-03-10 11-PM,BTCEUR,7044.6,7054.9,6964.2,6977.6,189.28,1325515.93
2020-03-10 10-PM,BTCEUR,7060.4,7104.1,7033.1,7044.6,137.05,969026.56
2020-03-10 09-PM,BTCEUR,7097.7,7135.8,7047.1,7060.4,176.38,1250901.21
2020-03-10 08-PM,BTCEUR,7078,7125.1,7012.3,7097.7,308.55,2182110.59
2020-03-10 07-PM,BTCEUR,6980.4,7078,6963.4,7078,193.23,1358150.35
2020-03-10 06-PM,BTCEUR,6965,6995.4,6909.4,6980.4,188.75,1311319.42
2020-03-10 05-PM,BTCEUR,6950,7000.9,6926,6965,357.32,2492514.81
2020-03-10 04-PM,BTCEUR,6846.2,6950.1,6810.4,6950,387.11,2671244.59
2020-03-10 03-PM,BTCEUR,7084.7,7091.5,6830.8,6846.2,885.79,6165840.06
2020-03-10 02-PM,BTCEUR,7107.9,7152.4,7074.7,7084.7,384.81,2740288.36
2020-03-10 01-PM,BTCEUR,7170.4,7181.7,7070.2,7107.9,519.79,3707838.55
2020-03-10 12-PM,BTCEUR,7111.9,7177,7100,7170.4,452.27,3227764.06
2020-03-10 11-AM,BTCEUR,7087.8,7163.2,7087.8,7111.9,789.55,5625285.51
2020-03-10 10-AM,BTCEUR,6947.7,7127.1,6945.9,7087.8,953.24,6716281.2
2020-03-10 09-AM,BTCEUR,6959.4,6960.2,6939,6947.7,316.01,2196059.01
2020-03-10 08-AM,BTCEUR,6948.5,6967.8,6926.6,6959.4,278.68,1936940.46
2020-03-10 07-AM,BTCEUR,6982.4,6985.2,6930,6948.5,259.24,1804694.54
2020-03-10 06-AM,BTCEUR,7003.9,7008.7,6973.6,6982.4,161.14,1126025.7
2020-03-10 05-AM,BTCEUR,6969.9,7006.7,6962.9,7003.9,213.05,1489437.31
2020-03-10 04-AM,BTCEUR,6940,6969.9,6940,6969.9,100.49,699233.38
2020-03-10 03-AM,BTCEUR,6886.1,6948.6,6885.8,6940,37.33,258042.76
2020-03-10 02-AM,BTCEUR,6927.4,6949.3,6880.7,6886.1,95.72,662314.56
2020-03-10 01-AM,BTCEUR,6975,6988,6916,6927.4,89.74,625115.43
2020-03-10 12-AM,BTCEUR,6955,6979.6,6921.4,6975,136.18,947251.67
2020-03-09 11-PM,BTCEUR,6883.9,6966,6859.3,6955,189.98,1313285.55
2020-03-09 10-PM,BTCEUR,6835,6888,6835,6883.9,123.42,846293.42
2020-03-09 09-PM,BTCEUR,6869,6886.4,6832.1,6835,142.76,980213.14
2020-03-09 08-PM,BTCEUR,6842.9,6895.3,6806,6869,473.05,3247839.72
2020-03-09 07-PM,BTCEUR,6761.3,6874.7,6761.3,6842.9,384.07,2619120.51
2020-03-09 06-PM,BTCEUR,6732.1,6783,6732.1,6761.3,332.8,2249079.07
2020-03-09 05-PM,BTCEUR,6794.3,6810,6712.8,6732.1,345.17,2332293.5
2020-03-09 04-PM,BTCEUR,6783,6877.6,6730,6794.3,637.67,4336623.58
2020-03-09 03-PM,BTCEUR,6747,6793.2,6675,6783,988.24,6652592.81
2020-03-09 02-PM,BTCEUR,6833.6,6854.9,6735.1,6747,780.1,5295529.83
2020-03-09 01-PM,BTCEUR,6906,6913.7,6752.9,6833.6,901.16,6137613.86
2020-03-09 12-PM,BTCEUR,6839.5,6925.4,6819.6,6906,764.29,5254570.53
2020-03-09 11-AM,BTCEUR,6926.3,6930,6800,6839.5,655.6,4486304.26
2020-03-09 10-AM,BTCEUR,6962.6,6976.8,6903.5,6926.3,550.46,3824658.26
2020-03-09 09-AM,BTCEUR,7028.4,7028.4,6959.9,6962.6,452.11,3165875.33
2020-03-09 08-AM,BTCEUR,6927.1,7040,6927.1,7028.4,518.96,3630183.51
2020-03-09 07-AM,BTCEUR,6927.2,6955.3,6891.8,6927.1,399.34,2765563.35
2020-03-09 06-AM,BTCEUR,6984,7043.7,6905.9,6927.2,455.93,3179346.98
2020-03-09 05-AM,BTCEUR,6900,7013.2,6750,6984,555.21,3806562.25
2020-03-09 04-AM,BTCEUR,7081.3,7081.9,6857.7,6900,602.91,4190174.38
2020-03-09 03-AM,BTCEUR,7060.3,7131.4,7037.1,7081.3,99.59,704837.09
2020-03-09 02-AM,BTCEUR,7089.1,7093.4,7047.9,7060.3,103.38,730307.62
2020-03-09 01-AM,BTCEUR,7130.5,7154.9,7087.8,7089.1,269.6,1918237.99
2020-03-09 12-AM,BTCEUR,7075.9,7200,7065.3,7130.5,237.63,1692889.6
2020-03-08 11-PM,BTCEUR,7186.3,7264.9,7027,7075.9,620.38,4425898.34
2020-03-08 10-PM,BTCEUR,7287.7,7306.8,7181.7,7186.3,356.37,2576110.06
2020-03-08 09-PM,BTCEUR,7334.7,7341,7231.5,7287.7,573.3,4185116.48
2020-03-08 08-PM,BTCEUR,7373.7,7379.9,7334.4,7334.7,188.33,1385540.98
2020-03-08 07-PM,BTCEUR,7375,7390.1,7352,7373.7,159.76,1177776.47
2020-03-08 06-PM,BTCEUR,7397.3,7402.7,7353.1,7375,235.5,1737751.85
2020-03-08 05-PM,BTCEUR,7362.3,7440.9,7336,7397.3,459.26,3396288.24
2020-03-08 04-PM,BTCEUR,7457.7,7457.7,7256.3,7362.3,1116.87,8188754.3
2020-03-08 03-PM,BTCEUR,7611,7635,7387.5,7457.7,989.52,7417635.7
2020-03-08 02-PM,BTCEUR,7684,7694.2,7600,7611,317.74,2428377.39
2020-03-08 01-PM,BTCEUR,7708.2,7717,7655.1,7684,252.82,1943187.06
2020-03-08 12-PM,BTCEUR,7770.4,7776.5,7691.2,7708.2,240.75,1859400.43
2020-03-08 11-AM,BTCEUR,7767.5,7782.4,7754.3,7770.4,72.53,563366.97
2020-03-08 10-AM,BTCEUR,7745.5,7778.6,7711.3,7767.5,204.54,1586427.24
2020-03-08 09-AM,BTCEUR,7754.7,7771.8,7744.6,7745.5,72.56,563082.86
2020-03-08 08-AM,BTCEUR,7770.2,7770.3,7751.4,7754.7,90.75,703936.69
2020-03-08 07-AM,BTCEUR,7751.4,7779.8,7751.3,7770.2,69.11,536941.56
2020-03-08 06-AM,BTCEUR,7743.7,7753.6,7732.5,7751.4,55.88,432760.4
2020-03-08 05-AM,BTCEUR,7755,7758.5,7734.8,7743.7,83.3,645088.6
2020-03-08 04-AM,BTCEUR,7769.5,7769.5,7708.4,7755,191.8,1485238.66
2020-03-08 03-AM,BTCEUR,7747.5,7775.8,7735.4,7769.5,27.55,213706.34
2020-03-08 02-AM,BTCEUR,7775,7790.1,7738.6,7747.5,55.77,433157.35
2020-03-08 01-AM,BTCEUR,7808,7808.1,7774.1,7775,71.52,557225.7
2020-03-08 12-AM,BTCEUR,7896.9,7896.9,7748.6,7808,257.89,2012866.68
2020-03-07 11-PM,BTCEUR,7920.4,7920.4,7882.5,7896.9,42.57,336529.17
2020-03-07 10-PM,BTCEUR,7887.5,7928.3,7882.4,7920.4,70.52,557738.19
2020-03-07 09-PM,BTCEUR,7887.6,7896,7876.5,7887.5,57.6,454356.39
2020-03-07 08-PM,BTCEUR,7898.2,7902,7867.6,7887.6,45.71,360558.16
2020-03-07 07-PM,BTCEUR,7883.2,7899,7865,7898.2,50.17,395649.41
2020-03-07 06-PM,BTCEUR,7924,7924,7852.2,7883.2,257.48,2028947.75
2020-03-07 05-PM,BTCEUR,8021.4,8021.4,7905,7924,352.03,2797476.93
2020-03-07 04-PM,BTCEUR,8098.7,8163.8,8000.4,8021.4,378.28,3057627.23
2020-03-07 03-PM,BTCEUR,8096.2,8103.2,8088.8,8098.7,48.25,390642.11
2020-03-07 02-PM,BTCEUR,8069.4,8096.9,8069.4,8096.2,61.61,497662.94
2020-03-07 01-PM,BTCEUR,8077.2,8093.2,8061.7,8069.4,85.93,694065.12
2020-03-07 12-PM,BTCEUR,8077.8,8115,8075.2,8077.2,56.56,457781.36
2020-03-07 11-AM,BTCEUR,8083.8,8091,8063.9,8077.8,49.27,398096.69
2020-03-07 10-AM,BTCEUR,8095.9,8103.3,8083.2,8083.8,29.54,239204.43
2020-03-07 09-AM,BTCEUR,8092.1,8097,8078.5,8095.9,26.32,212891.36
2020-03-07 08-AM,BTCEUR,8074.7,8093.7,8066.4,8092.1,31.93,258028.34
2020-03-07 07-AM,BTCEUR,8061.3,8075,8039,8074.7,58.19,468936.78
2020-03-07 06-AM,BTCEUR,8069.8,8083.2,8061.3,8061.3,44.06,355760.55
2020-03-07 05-AM,BTCEUR,8065.6,8073.7,8054.1,8069.8,20.52,165330.91
2020-03-07 04-AM,BTCEUR,8078.9,8091.7,8059.2,8065.6,21.57,174175.0
2020-03-07 03-AM,BTCEUR,8086.3,8096.1,8075.7,8078.9,5.551,44872.33
2020-03-07 02-AM,BTCEUR,8076.7,8091.6,8072.1,8086.3,19.12,154542.1
2020-03-07 01-AM,BTCEUR,8110,8114.8,8070.2,8076.7,44.34,358276.41
2020-03-07 12-AM,BTCEUR,8118.3,8119.9,8088.8,8110,49.21,398871.2
2020-03-06 11-PM,BTCEUR,8092.2,8122.4,8089.6,8118.3,72.18,585419.47
2020-03-06 10-PM,BTCEUR,8097.8,8099.9,8054.2,8092.2,50.07,404922.8
2020-03-06 09-PM,BTCEUR,8077.8,8098,8075.7,8097.8,50.41,407747.19
2020-03-06 08-PM,BTCEUR,8054.2,8081.8,8054.2,8077.8,61.94,500029.49
2020-03-06 07-PM,BTCEUR,8055.7,8072.7,8046.1,8054.2,75.92,611743.19
2020-03-06 06-PM,BTCEUR,8057.8,8064.7,8045.5,8055.7,65.38,526581.84
2020-03-06 05-PM,BTCEUR,8030.2,8058.9,8030.1,8057.8,114.01,917218.1
2020-03-06 04-PM,BTCEUR,7988.8,8040.9,7988.8,8030.2,192.73,1545553.45
2020-03-06 03-PM,BTCEUR,8020,8042.9,7988.8,7988.8,284.63,2283100.67
