Date,Open,High,Low,Close,Action,Bid,Ask
2020-01-15 00:00,82,82,82,82,,,
2020-01-15 00:01,82,82,82,82,,,
2020-01-15 00:02,82,82,82,82,,,
2020-01-15 00:03,82,82,82,82,,,
2020-01-15 00:04,82,82,82,82,,,
2020-01-15 00:05,82,82,82,82,,,
2020-01-15 00:06,82,82,82,82,,,
2020-01-15 00:07,82,82,82,82,,,
2020-01-15 00:08,82,82,82,82,,,
2020-01-15 00:09,82,82,82,82,,,
2020-01-15 00:10,82,82,82,82,,,
2020-01-15 00:11,82,82,82,82,,,
2020-01-15 00:12,82,82,82,82,,,
2020-01-15 00:13,82,82,82,82,,,
2020-01-15 00:14,82,82,82,82,,,
2020-01-15 00:15,82,82,82,82,,,
2020-01-15 00:16,82,82,82,82,,,
2020-01-15 00:17,82,82,82,82,,,
2020-01-15 00:18,82,82,82,82,,,
2020-01-15 00:19,82,82,82,82,,,
2020-01-15 00:20,82,82,82,82,,,
2020-01-15 00:21,82,82,82,82,,,
2020-01-15 00:22,82,82,82,82,,,
2020-01-15 00:23,82,82,82,82,,,
2020-01-15 00:24,82,82,82,82,,,
2020-01-15 00:25,82,82,82,82,,,
2020-01-15 00:26,82,82,82,82,,,
2020-01-15 00:27,82,82,82,82,,,
2020-01-15 00:28,82,82,82,82,,,
2020-01-15 00:29,82,82,82,82,,,
2020-01-15 00:30,82,82,82,82,,,
2020-01-15 00:31,82,82,82,82,,,
2020-01-15 00:32,82,82,82,82,,,
2020-01-15 00:33,82,82,82,82,,,
2020-01-15 00:34,82,82,82,82,,,
2020-01-15 00:35,82,82,82,82,,,
2020-01-15 00:36,82,82,82,82,,,
2020-01-15 00:37,82,82,82,82,,,
2020-01-15 00:38,82,82,82,82,,,
2020-01-15 00:39,82,82,82,82,,,
2020-01-15 00:40,82,82,82,82,,,
2020-01-15 00:41,82,82,82,82,,,
2020-01-15 00:42,82,82,82,82,,,
2020-01-15 00:43,82,82,82,82,,,
2020-01-15 00:44,82,82,82,82,,,
2020-01-15 00:45,82,82,82,82,,,
2020-01-15 00:46,82,82,82,82,,,
2020-01-15 00:47,82,82,82,82,,,
2020-01-15 00:48,82,82,82,82,,,
2020-01-15 00:49,82,82,82,82,,,
2020-01-15 00:50,82,82,82,82,,,
2020-01-15 00:51,82,82,82,82,,,
2020-01-15 00:52,82,82,82,82,,,
2020-01-15 00:53,82,82,82,82,,,
2020-01-15 00:54,82,82,82,82,,,
2020-01-15 00:55,82,82,82,82,,,
2020-01-15 00:56,82,82,82,82,,,
2020-01-15 00:57,82,82,82,82,,,
2020-01-15 00:58,82,82,82,82,,,
2020-01-15 00:59,82,82,82,82,,,
2020-01-15 01:00,82,82,82,82,,,
2020-01-15 01:01,82,82,82,82,,,
2020-01-15 01:02,82,82,82,82,,,
2020-01-15 01:03,82,82,82,82,,,
2020-01-15 01:04,82,82,82,82,,,
2020-01-15 01:05,82,82,82,82,,,
2020-01-15 01:06,82,85,82,85,,,
2020-01-15 01:07,85,88,85,88,,,
2020-01-15 01:08,88,88,88,88,,,
2020-01-15 01:09,88,88,88,88,,,
2020-01-15 01:10,88,92,88,92,,,
2020-01-15 01:11,92,92,92,92,,,
2020-01-15 01:12,92,92,92,92,,,
2020-01-15 01:13,92,92,92,92,,,
2020-01-15 01:14,92,92,92,92,,,
2020-01-15 01:15,92,92,92,92,,,
2020-01-15 01:16,92,92,92,92,,,
2020-01-15 01:17,92,92,92,92,,,
2020-01-15 01:18,92,92,92,92,,,
2020-01-15 01:19,92,92,92,92,,,
2020-01-15 01:20,92,92,92,92,,,
2020-01-15 01:21,92,92,92,92,,,
2020-01-15 01:22,92,92,92,92,,,
2020-01-15 01:23,92,92,92,92,,,
2020-01-15 01:24,92,92,92,92,,,
2020-01-15 01:25,92,92,92,92,,,
2020-01-15 01:26,92,92,92,92,,,
2020-01-15 01:27,92,92,92,92,,,
2020-01-15 01:28,92,92,92,92,,,
2020-01-15 01:29,92,92,92,92,,,
2020-01-15 01:30,92,92,92,92,,,
